DATA,HORARIO,PRATOPRINCIPAL,OVOS,VEGETARIANO,GUARNICAO,SALADA1,SALADA2,ARROZ,FEIJAO,SOBREMESA,SUCO
01/09,Almoço,domingo,,,,,,,,,
02/09,Almoço,Cubos Suíno à Brasé,Fritos/Cozidos,Croquete de Quinoa,Quibebe de Abóbora,Almeirão,Cenoura Ralada,Simples/Integral,Carioca,Doce embaladococada/ laranja,Melão c/ hortelã
03/09,Almoço,Frango assado,Fritos/Cozidos,Hamburguer de abóbora c/aveia e linhaça,Macarronada,Mix de folhas,Marroquina,Simples/Integral,Tutu de feijão,GelatinaMorango/Banana,Laranja c/limão
04/09,Almoço,Bife de Suíno Acebolado,Fritos/Cozidos,Assado de soja,Repolho Búlgaro,Acelga,Antepasto deberinjela,Simples/Integral,Carioca,Bolo/ Melão,Limão
05/09,Almoço,Carne moida c/ cenoura,Fritos/Cozidos,Almondega de grão de bico aomolho,Batata Sautê,Mostarda,Tomate,Simples/Integral,Preto,Arroz Doce/ Maçã,Melancia c/ beterraba
06/09,Almoço,Peixe no Fubá,Fritos/Cozidos,Croquete de lentilha,Pirão de Cenoura,Alface c/ Laranja,Pepino c/ Salsa,Simples/Integral,Vermelho,Banana,Abacaxi
07/09,Almoço,Feriado,,,,,,,,,
08/09,Almoço,Recesso,,,,,,,,,
09/09,Almoço,Filé de Frango Grelhado,Fritos/Cozidos,Quibe de bandeja,Parafuso ao Sugo,Alface,Chuchu,Simples/Integral,Tutu de feijão,Doce paçoca/maçã,Laranja c/ limão
10/09,Almoço,Fígado Iscas,Fritos/Cozidos,Grão xadrez,Purê de Batata,Mix de folhas,Tomate,Simples/Integral,Carioca,Pudim deChocolate/ Saladade frutas,Melancia c/ Hortelã
11/09,Almoço,Carne de Panela,Fritos/Cozidos,Lentilha c/ legumes,Mandioca Cozida,Acelga,Berinjela c/ Óregano,Simples/Integral,CariocaBatido,Arroz doce/mamão,Limão
12/09,Almoço,Lasanha de Frango,Fritos/Cozidos,Croquete de feijão branco,Chuchu refogado,Almeirão,Batata doce,Simples/Integral,Carioca,Doce de Abóbora /maçã,Beterraba c/ Limão
13/09,Almoço,Feijoada,Fritos/Cozidos,Xadrez de legumes comamendoim,Farofa Dourada,Couve,Cenoura Ralada,Simples/Integral,Preto,Banana,Maracujá
16/09,Almoço,Cubos Suíno à Brasé,Fritos/Cozidos,Tropeiro de grão de bico,Palha Francesa,Mix de folhas,Ceviche deabobrinha,Simples/Integral,Carioca,Pé deMoleque/Laraja,limão
17/09,Almoço,Frango assado,Fritos/Cozidos,Croquete de quinoa,Chuchu Tropeiro,Acelga,Tomate,Simples/Integral,Preto,Bolo / Banana,Melancia
18/09,Almoço,Filé de Frango Grelhado,Fritos/Cozidos,lentilhas com legumes,Quibebe de Abóbora,Alface c/ Laranja,Antepasto deberinjela,Simples/Integral,Tutu de feijão,Arroz Doce/Melancia,Maracujá
19/09,Almoço,Bife de Panela (Bovino),Fritos/Cozidos,Almondegas de Soja,Pirão de Cenoura,Mostarda,Vinagrete,Simples/Integral,Preto,Canjica/melão,Laranja c/mamão
20/09,Almoço,Escondidinho de peixe,Fritos/Cozidos,Hamburguer de abóbora c/aveia e linhaça,Farofa Dourada,Almeirão,Chuchu,Simples/Integral,Carioca Batido,Laranja/Banana,Abacaxi
21/09,Almoço,sabado,,,,,,,,,
22/09,Almoço,domingo,,,,,,,,,
23/09,Almoço,Iscas Bovina Acebolada,Fritos/Cozidos,Fricassê de soja,Abobrinha Refogada,Mix de folhas,Cenoura c/ passas,Simples/Integral,Preto,Doce tableteamendoim/Maçã,Limão
24/09,Almoço,Frango Grelhado,Fritos/Cozidos,Croquete de feijão branco,Chuchu Tropeiro,Acelga,Beterraba Ralada,Simples/Integral,Vermelho,Bananacaramelizada/Laranja,Melancia
25/09,Almoço,Carne moida c/ Batata,Fritos/Cozidos,Hamburguer de abóbora c/aveia e linhaça,Angú ao Sugo,Almeirão,Berinjela c/Óregano,Simples/Integral,Carioca,Maçã,Abacaxi c/hortelã
26/09,Almoço,Frango Caipira,Fritos/Cozidos,Grão de bico c/ legumes,Espaguete ao alho eóleo,Alface,Pepino c/ Salsa,Simples/Integral,Tutu de feijão,Pudim chinês/Banana,Melão c/ limão
27/09,Almoço,Peixe ao Brás,Fritos/Cozidos,Lasanha de abobrinha,Batata Doce Sautê,Mostarda,Tomate,Simples/Integral,Carioca,Melancia/Melão,Mamão c/ laranja
28/09,Almoço,sabado,,,,,,,,,
29/09,Almoço,domingo,,,,,,,,,
30/09,Almoço,Bife Suíno acebolado,Fritos/Cozidos,Assado de soja,Macarronada,Mix de folhas,Abobrinha,Simples/Integral,Preto,Maçã/Laranja,Limão
